title, alternative_title, certification, country, production_year, language, subtitle_language, length,	print_source, url
"In Conversation with Stephen Frears",NULL,"CFF-PG",,"2000",,,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/in-conversation-with-stephen-frears/"
"Fresher's Week Screening",NULL,"PG",,"2000",,,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/freshers-week-screening/"
"The Desert of Forbidden Art",NULL,"CFF-15","Russia","2010","English and Russian","English","80",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-desert-of-forbidden-art/"
"You, The Living",NULL,"15","Sweden","2008",,"English","95",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/you-the-living/"
"The Girl Who Kicked The Hornet's Nest",NULL,"CFF-15","Sweden","2009",NULL,NULL,"148",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-girl-who-kicked-the-hornets-nest/"
"GravyTrain",NULL,"CFF-15","Canada","2010","English",NULL,"84",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/gravytrain/"
"Ian Christie: (Not) Coming Soon",NULL,"PG","United Kingdom","2000",NULL,NULL,"105",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/ian-christie-unfinished-symphonies/"
"Movies Beside the Museum: The Rhythm of the Tracks",NULL,"CFF-PG","Various","2010","Various",NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/rhythm-of-the-tracks/"
"UK Shorts II - Relationships: The Eternal Riddle",NULL,"CFF-15","UK","2009","English",NULL,"74",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/uk-shorts-ii-relationships-the-eternal-riddle/"
"The Gruffalo",NULL,"U","United Kingdom","2009",,,"27",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-gruffalo/"
"The Battle of the Rails (La Bataille du Rail)",NULL,"CFF-PG","France","1946",,"English","85",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-battle-of-the-rails-la-bataille-du/"
"We Are What We Are (Somos lo que hey) + Happy Face",NULL,"CFF-18","Mexico","2010","Spanish","English","105","Artificial Eye","http://www.cambridgefilmfestival.org.uk/films/2010/we-are-what-we-are-somos-lo-que/"
"Hoi Polloi Present HUGH HUGHES: HOW I GOT HERE",NULL,"PG","United Kingdom","2010",NULL,NULL,"75",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/hoi-polloi-present-hugh-hughes-how-i-got/"
"The Happy Poet (85m)/Toxic Oranges*: A Wall Street Fairytale (10m)",NULL,"CFF-PG","United States","2000","English",NULL,"10",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-happy-poet-85mtoxic-orange-10m/"
"World's Greatest Dad",NULL,"15","United States","2009",NULL,NULL,"99",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/worlds-greatest-dad/"
"Police, Adjective",NULL,"CFF-15","Romania","2009",,,"115",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/police-adjective/"
"Slade in Flame",NULL,"PG","United Kingdom","1975",,,"91",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/slade-in-flame/"
"International Shorts II: Wishful Thinking",NULL,"18","Romania/Australia/Iran/Italy/Sweden/Germany","2009","Various","English","88",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/international-shorts-ii-wishful-thinking/"
"Harvest",NULL,"CFF-15","United States","2010",NULL,NULL,"102",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/harvest/"
"The Hillside Crowd (Ceux de la Colline)",NULL,"CFF-15","Switzerland","2009",,"English","72",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-hillside-crowd-ceux-de-la-colline/"
"The Passing of the Third Floor Back",NULL,"PG","United Kingdom","1935","English",NULL,"90","BFI National Archive","http://www.cambridgefilmfestival.org.uk/films/2010/the-passing-of-the-third-floor-back/"
"The Messenger",NULL,"CFF-15","United States","2010",", ","English","112",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-messenger/"
"Garbage Dreams",NULL,"CFF-PG","United States","2009","Arabic","English","79",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/garbage-dreams/"
"The Extraordinary Adventures of Adele Blanc-Sec",NULL,"15","France","2010","French","English","105","Optimum Releasing","http://www.cambridgefilmfestival.org.uk/films/2010/the-extraordinary-adventures-of-adele-blanc-sec/"
"Dancing Dreams",NULL,"CFF-PG","Germany","2010",NULL,"English","90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/dancing-dreams/"
"Round Ireland with a Fridge",NULL,"CFF-15","United Kingdom","2010","English",NULL,"90","Soda Pictures","http://www.cambridgefilmfestival.org.uk/films/2010/round-ireland-with-a-fridge/"
"The Bad Seed",NULL,"CFF-18","USA","1956","English",NULL,"129","Warner Bros","http://www.cambridgefilmfestival.org.uk/films/2010/bad-seed/"
"Soul Boy",NULL,"CFF-15","Kenya/Germany","2010","Swahili","English","61","The Festival Agency","http://www.cambridgefilmfestival.org.uk/films/2010/soul-boy/"
"Nenette",NULL,"CFF-PG","France","2009",NULL,"English","68","Artificial Eye Film Company","http://www.cambridgefilmfestival.org.uk/films/2010/nenette/"
"Bob the Builder: Race to the Finish",NULL,"U","United Kingdom","2009",NULL,NULL,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/bob-the-builder-race-to-the-finish/"
"Brilliantlove",NULL,"CFF-18","United Kingdom","2010",NULL,NULL,"97","Pinball Films","http://www.cambridgefilmfestival.org.uk/films/2010/brilliantlove/"
"The Girl with the Dragon Tattoo",NULL,"18","Sweden","2009",,"English","152",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-girl-with-the-dragon-tattoo/"
"Cross-Channel + Discrepancy",NULL,"CFF-18","United Kingdom","2010","English",NULL,"114",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/cross-channel-105mdiscrepancy-10m/"
"Stephen Fry Live: The Fry Chronicles",NULL,"NO CERT","United Kingdom","2010",,,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/stephen-fry-live-the-fry-chronicles/"
"'F' + Happy Face",NULL,"18","United Kingdom","2010","English",NULL,"79","Optimum Releasing","http://www.cambridgefilmfestival.org.uk/films/2010/f-2010/"
"CIFA: Becoming an Independent Filmmaker",NULL,"U","UK","2010","English",NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/cifa-becoming-an-independent-filmmaker/"
"Stephen Fry: Wagner and Me",NULL,"CFF-PG","United Kingdom","2010",,,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/stephen-fry-wagner-and-me/"
"The Miracle of Leipzig (Das Wunder von Leipzig-Wir sind das Volk)",NULL,"CFF-15","Germany","2009",NULL,"English","90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-miracle-of-leipzigdas-wunder-von-leipzig-wir-sind/"
"Henry of Navarre (Henri 4)",NULL,"CFF-12A","Germany, France, Spain","2010",NULL,"English","153",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/henry-of-navarre-henri-4/"
"Screen East Digital Shorts",NULL,"CFF-15","UK","2009","English",NULL,"70",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/screen-east-2009/"
"Rainbow Magic: Return to Rainspell Island",NULL,"U","United Kingdom","2010",,,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/rainbow-magic-return-to-rainspell-island/"
"A Town Called Panic",NULL,"PG","Belgium, Luxembourg, France","2010","French","English","78","Optimum Releasing","http://www.cambridgefilmfestival.org.uk/films/2010/a-town-called-panic/"
"My Afternoons With Margueritte (La Tete en Friche)",NULL,"15","France","2010","French","English","82",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/my-afternoons-with-margueritte-la-tete-en-friche/"
"Beggars of Life with acc. from The Dodge Brothers",NULL,"CFF-U","United States","1928",NULL,NULL,"100",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/beggars-of-life-with-acc-from-the-dodge/"
"Enter the Void",NULL,"18","France, Germany, Italy","2009","English and Japanese","English","155",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/enter-the-void/"
"History of Cinema Part 1 (From the Magic Lantern to 70mm)",NULL,"U","UK","2000","English",NULL,"75",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/history-of-cinema-part-1-magic-lanternsilent70mmcinerama/"
"The Weird World of Blowfly",NULL,"CFF-18","United States","2010",NULL,NULL,"93",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-weird-world-of-blowfly/"
"Dark Souls (Mørke Sjeler)",NULL,"CFF-18","Norway, France","2010",NULL,"English","97",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/dark-souls-mrke-sjeler/"
"Genius Within: The Inner Life of Glenn Gould",NULL,"CFF-15","Canada","2009",NULL,NULL,"108","Verve Pictures","http://www.cambridgefilmfestival.org.uk/films/2010/genius-within-the-inner-life-of-glenn-gould/"
"Superhero Me",NULL,"CFF-PG","United Kingdom","2010","English",NULL,"84","Garagesale Productions","http://www.cambridgefilmfestival.org.uk/films/2010/superhero-me/"
"Mr. Nice",NULL,"18","United Kingdom","2010",NULL,NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/mr-nice/"
"Pan's Labyrinth",NULL,"15","Mexico, Spain, USA","2006",NULL,"English","119",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/pans-labyrinth/"
"The Butcher's Son (La Soga)",NULL,"CFF-18","Dominican Republic","2010",NULL,"English","103",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-butchers-son-la-soga/"
"Trident Fest 2010",NULL,"CFF-18","UK","2010","English",NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/trident-fest-2010/"
"Writer's Workshop (Kids)",NULL,"U",,"2000",,,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/writers-workshop-kids/"
"Voices Unbound: The Story of the Freedom Writers",NULL,"CFF-15","United States","2009",,,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/voices-unbound-the-story-of-the-freedom-writers/"
"From Here to Eternity",NULL,"PG","United States","1953",NULL,NULL,"118",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/from-here-to-eternity/"
"The Hunter (2010)",NULL,"15","Germany","2010",NULL,NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-hunter-2010/"
"The Art Of The Mid-Length",NULL,"18","Germany/UK/USA/Nigeria","2010","English",NULL,"95",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-art-of-the-mid-length/"
"The Lido Picture Show",NULL,"U","United Kingdom","2010",NULL,NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-lido-picture-show-jesus-green-outdoor-pool/"
"Ladies & Gentlemen: The Rolling Stones",NULL,"PG","United States","1973",NULL,NULL,"75",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/ladies-gentlemen-the-rolling-stones/"
"Kubrick's Napoleon",NULL,"12A","UK","2010",NULL,NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/kubricks-napoleon/"
"Beijing Punk/Kiss Bill",NULL,"CFF-15","USA/China/Australia/UK","2010","English/Mandarin/Swedish","English","113","Mycelium","http://www.cambridgefilmfestival.org.uk/films/2010/beijing-punk-85mkiss-bill-28m/"
"Rock and Roll Fuck'n'Lovely",NULL,"CFF-18","United Kingdom","2010",NULL,NULL,"80",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/rock-and-roll-fucknlovely/"
"Small Films for Small People",NULL,"U","United Kingdom","2010","English",NULL,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/small-films-for-small-people/"
"Empire of Silver",NULL,"CFF-15","China, Taiwan, Hong Kong","2009","Mandarin","English","112",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/empire-of-silver/"
"Thomas and Friends - Hero of the Rails",NULL,"U","United Kingdom","2009",NULL,NULL,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/thomas-and-friends-hero-of-the-rails/"
"Promise and Unrest",NULL,"CFF-PG","Ireland/Philippines","2010","English/Tagalog","English","95",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/promise-and-unrest/"
"Monty Python: Almost the Truth (The Lawyer's Cut)",NULL,"15","United Kingdom","2009","English",NULL,"100","Bill and Ben Productions","http://www.cambridgefilmfestival.org.uk/films/2010/monty-python-almost-the-truth/"
"Farewell (L'affaire Farewell)",NULL,"CFF-15","France","2009",NULL,"English","112","The Works UK Distribution","http://www.cambridgefilmfestival.org.uk/films/2010/farewell-laffaire-farewell/"
"Student Showcase (ARU) 2010",NULL,"CFF-PG","United Kingdom","2000",NULL,NULL,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/student-showcase-aru-2010/"
"A Taste of History on Film: Lunchtime Archive Show",NULL,"PG","UK","2000",NULL,NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/a-taste-of-history-on-film-lunchtime-archive/"
"Cronos",NULL,"18","Mexico","1993",NULL,NULL,"94",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/cronos/"
"Grandpa in my Pocket",NULL,"U","United Kingdom","2009",NULL,NULL,"50",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/grandpa-in-my-pocket/"
"O Lucky Man",NULL,"CFF-15","United Kingdom","1973","English",NULL,"174",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/o-lucky-man/"
"Dirt + For Cultural Purposes Only",NULL,"CFF-15","United Kingdom","2010","English",NULL,"108",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/dirt/"
"I Made This 2010",NULL,"PG",,"2000",,,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/i-made-this-2010/"
"The Dispensibles (Die Entbehrlichen)",NULL,"CFF-PG","Germany","2009","German","English","104",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-dispensibles-die-entbehrlichen/"
"Roy Andersson Shorts Programme",NULL,"CFF-18","Sweden","1967",NULL,"English","112","Studio 24 Distribution","http://www.cambridgefilmfestival.org.uk/films/2010/roy-andersson-shorts/"
"A Swedish Love Story",NULL,"CFF-12A","Sweden","1970",NULL,"English","115",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/a-swedish-love-story/"
"The Devil's Backbone",NULL,"15","Spain","2001",,,"106",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-devils-backbone/"
"The Girl Who Played with Fire",NULL,"15","Germany","2009",", ","English","129",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-girl-who-played-with-fire/"
"International Animation Programme",NULL,"U","France/UK/USA/Ireland/Germany/Greece","2009","English",NULL,"61",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/international-animation-programme/"
"True Legend (Su Qi-Er)",NULL,"CFF-15","China","2010",NULL,"English","111",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/true-legend-su-qi-er/"
"Animals are my favourite....",NULL,"U","United Kingdom","2010",NULL,NULL,"35",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/animals-are-my-favourite/"
"International Shorts I: Turning Points",NULL,"18","Italy/Germany/USA/Chile/France/Australia/Sweden","2010","Various","English","87",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/international-shorts-i-turning-points/"
"Masks of Mer",NULL,"PG","UK","2010",NULL,NULL,"40",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/masks-of-mer/"
"Babies (Bébés)",NULL,"CFF-U","France","2010","French","English","78","Optimum Releasing","http://www.cambridgefilmfestival.org.uk/films/2010/babies-bbs/"
"Winter's Bone",NULL,"15","United States","2010",NULL,NULL,"100",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/winters-bone/"
"The Best of the Festival 2010",NULL,"CFF-15","Various","2010","English",NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-best-of-the-festival-2010/"
"The Wildest Dream",NULL,"PG","United States","2010",,,"94",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-wildest-dream/"
"East Anglia Shorts",NULL,"CFF-PG","United Kingdom","2009","English",NULL,"77",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/east-anglia-shorts/"
"Behind the Scenes of Today's Film and Television Industry",NULL,"PG",,"2000",,,"180",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/behind-the-scenes-of-todays-film-and-television/"
"History of Cinema Part 2",NULL,"PG","UK","2000","English",NULL,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/history-of-cinema-part-2/"
"Two in the Wave (Deux de la Vague)",NULL,"PG","France","2010",,"English","91",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/two-in-the-wave-deux-de-la-vague/"
"Plug and Pray",NULL,"15","Germany","2009",", , ,","English","90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/plug-and-pray/"
"The Thorn in the Heart (L'épine dans le coeur) + Passengers",NULL,"CFF-15","France","2010","French","English","86","Soda Pictures","http://www.cambridgefilmfestival.org.uk/films/2010/thorn-in-the-heart-lpine-dans-le-coeur/"
"Destino: A Contemporary Dance Story (56m)/The Art of doing Nothing",NULL,"CFF-PG","UK","2010",NULL,NULL,"56",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/destino-a-contemporary-dance-story-56mthe-art-of/"
"Empire State",NULL,"CFF-18","United Kingdom","1987",NULL,NULL,"104",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/empire-state/"
"Neukölln Unlimited",NULL,"CFF-15","Germany","2010",NULL,"English","96",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/neuklln-unlimited/"
"Human Terrain",NULL,"CFF-15","United States","2010",NULL,NULL,"82",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/human-terrain/"
"Countdown to Zero",NULL,"PG","United States","2010","English",NULL,"91",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/countdown-to-zero/"
"Made in Dagenham",NULL,"15","England","2010",NULL,NULL,"113",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/made-in-dagenham/"
"The Secret of Kells",NULL,"PG","Belgium","2009","English",NULL,"79",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/secret-of-kells/"
"Surprise Film",NULL,"CFF-18","not yet known","2010",NULL,NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/surprise-film/"
"Sarah Turner presents Perestroika","Perestroika","CFF-15","United Kingdom","2009","English",NULL,"115",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/perestroika/"
"Trains on the Brain",NULL,"CFF-U","Various","2010","Various",NULL,"45",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/trains-on-the-brain/"
"Taking it Slow",NULL,"CFF-PG","Various","2010",NULL,"Various","80",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/taking-it-slow/"
"UK Shorts I: There Is No Place Like Home",NULL,"CFF-15","UK","2009","English",NULL,"86",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/uk-shorts-1/"
"The People vs. George Lucas",NULL,"CFF-PG","United States","2010","English/French","English","93",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/people-vs-george-lucas/"
"Back to the Future (Re-Release)",NULL,"PG","United States","1985","English",NULL,"111",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/back-to-the-future/"
"Tamara Drewe",NULL,"15","United Kingdom","2010","English",NULL,"111",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/tamara-drewe/"
"Alamar",NULL,"CFF-U","Mexico","2009","Spanish/Italian","English","73",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/alamar/"
"Songs from the Second Floor",NULL,"15","Sweden/Norway/Denmark","2000","Swedish","English","98",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/songs-from-the-second-floor/"
"The Panafrican Festival of Algiers (Le Festival Panafrican D'Alger)",NULL,"CFF-15","Algeria","1969","French","English","112","ARTE France","http://www.cambridgefilmfestival.org.uk/films/2010/panafrican-festival-of-algiers/"
"Don't Be Afraid (Keine Angst)",NULL,"CFF-18","Germany","2009","German","English","89","Bavaria Film International","http://www.cambridgefilmfestival.org.uk/films/2010/dont-be-afraid/"
"Family Shorts",NULL,"CFF-PG","Palestine/UK/Canada/Mexico","2010","English",NULL,"66",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/family-shorts/"
"Monsters + Blindsided",NULL,"12A","UK","2010","English",NULL,"105","Vertigo Films","http://www.cambridgefilmfestival.org.uk/films/2010/monsters-blindsided/"
"NokotaHeart (60m)/Giardini Di Luce (12m)",NULL,"CFF-12A","USA","2010","English",NULL,"72",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/nokota-heart/"
"Cell 211 (Celda 211)",NULL,"18","Spain/France","2009","Spanish","English","113","Optimum Releasing","http://www.cambridgefilmfestival.org.uk/films/2010/cell-211/"
"Pelican Blood + When the Hurlyburly's Done",NULL,"CFF-15","UK","2010","English",NULL,"112","Icon","http://www.cambridgefilmfestival.org.uk/films/2010/pelican-blood/"
"The Athlete (Atletu)",NULL,"CFF-15","Ethiopia/USA/Germany","2009","English/Amharic","English","85",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-athlete/"
"The Fourth Revolution: Energy Autonomy",NULL,"CFF-PG","Germany","2010","German","English","83",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/fourth-revolution/"
"The Trip",NULL,"12A","UK","2010","English",NULL,"90","Revolution Films","http://www.cambridgefilmfestival.org.uk/films/2010/the-trip/"
"Bad Company + Amnesia",NULL,"CFF-18","UK","2009","English",NULL,"90","Sparkler Productions","http://www.cambridgefilmfestival.org.uk/films/2010/bad-company/"
"All That I Love","WSZYSTKO, CO KOCHAM","CFF-15","Poland","2009","Polish","English","95","Wide Management","http://www.cambridgefilmfestival.org.uk/films/2010/all-that-i-love/"
"City Girl",NULL,"U","USA","1930","English",NULL,"90","Hollywood Classics","http://www.cambridgefilmfestival.org.uk/films/2010/city-girl/"
"David Wants to Fly",NULL,"CFF-15","Germany/Austria/Switzerland","2010","English and German","English","96","Autlook Films","http://www.cambridgefilmfestival.org.uk/films/2010/david-wants-to-fly/"
"Ordet",NULL,"PG","Denmark","1955","Danish","English","126","BFI","http://www.cambridgefilmfestival.org.uk/films/2010/ordet/"
"Superstonic Sound: The Rebel Dread",NULL,"CFF-15","UK","2009","English",NULL,"45","Courtesy of the filmmakers","http://www.cambridgefilmfestival.org.uk/films/2010/superstonic-sound/"
"Writer in Residence",NULL,"CFF-15","UK","2010","English",NULL,"60",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/writer-in-residence/"
"Reverse (Rewers)",NULL,"CFF-15","Poland","2009","Polish","English","101","Studio Filmowe Kadr","http://www.cambridgefilmfestival.org.uk/films/2010/reverse/"
"The German Chainsaw Massacre","Das Deutsche Kettensagenmassaker","18","Germany","1990","German","English","63","Monika Treut","http://www.cambridgefilmfestival.org.uk/films/2010/german-chainsaw-massacre/"
"See Cambridge in 3D",NULL,"CFF-U","UK","2010","English",NULL,"6",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/cambridgein3d/"
"Rembrandt's J'Accuse...!",NULL,"CFF-15","UK/Netherlands","2009","English",NULL,"100",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/rembrandts-jaccuse/"
"New York, I Love You",NULL,"CFF-15","France/USA","2009","English, Russian, Gujarati, Cantonese, French","English","103",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/new-york-i-love-you/"
