"CITY","COUNTRY","Browser","Operating_System","Country_Code","Date"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Castle Hill","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Coburg","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Sydney","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Sydney","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Sydney","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:26 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:26 PM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Belgium","--","--","BE","Feb 28, 2011 2:25 PM"
,"Brazil","--","--","BR","Feb 28, 2011 2:25 PM"
,"Bulgaria","--","--","BG","Sep 6, 2011 9:39 AM"
,"Bulgaria","--","--","BG","Sep 6, 2011 9:39 AM"
,"Canada","--","--","CA","Sep 6, 2011 5:08 PM"
,"Canada","--","--","CA","Sep 6, 2011 5:09 PM"
,"Canada","--","--","CA","Sep 6, 2011 9:39 AM"
,"Canada","--","--","CA","Sep 6, 2011 9:39 AM"
,"Canada","--","--","CA","Sep 6, 2011 9:39 AM"
"Bogota DC","Colombia","--","--","CO","Feb 28, 2011 2:25 PM"
"Pisarov","Czech Republic","--","--","CZ","Feb 28, 2011 2:25 PM"
,"Czech Republic","--","--","CZ","Sep 6, 2011 9:39 AM"
,"Denmark","--","--","DK","Feb 28, 2011 2:25 PM"
,"Denmark","--","--","DK","Feb 28, 2011 2:25 PM"
,"Finland","--","--","FI","Sep 6, 2011 9:39 AM"
"Antony","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Avignon","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Paris","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Paris","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Pauilhac","France","--","--","FR","Feb 28, 2011 2:25 PM"
,"France","--","--","FR","Feb 28, 2011 2:25 PM"
,"France","--","--","FR","Sep 6, 2011 9:39 AM"
,"Germany","--","--","DE","Sep 6, 2011 9:39 AM"
"Athens","Greece","--","--","GR","Feb 28, 2011 2:26 PM"
,"Hong Kong","--","--","HK","Sep 6, 2011 9:39 AM"
"Hellissandur","Iceland","--","--","IS","Feb 28, 2011 2:25 PM"
"Reykjavík","Iceland","--","--","IS","Feb 28, 2011 2:26 PM"
"dublin 2","Ireland","--","--","IE","Feb 28, 2011 2:25 PM"
"Tralee","Ireland","--","--","IE","Feb 28, 2011 2:25 PM"
,"Ireland","--","--","IE","Feb 28, 2011 2:25 PM"
,"Ireland","--","--","IE","Feb 28, 2011 2:25 PM"
"Dublin","Ireland","--","--","IE","Sep 6, 2011 9:39 AM"
,"Ireland","--","--","IE","Sep 6, 2011 9:39 AM"
,"Ireland","--","--","IE","Sep 6, 2011 9:39 AM"
,"Ireland","--","--","IE","Sep 6, 2011 9:39 AM"
,"Ireland","--","--","IE","Sep 6, 2011 9:39 AM"
,"Ireland","--","--","IE","Sep 6, 2011 9:39 AM"
,"Ireland","--","--","IE","Sep 7, 2011 9:47 AM"
,"Ireland","--","--","IE","Sep 7, 2011 9:48 AM"
"Torino","Italy","--","--","IT","Feb 28, 2011 2:25 PM"
,"Malaysia","--","--","MY","Sep 6, 2011 9:39 AM"
,"Malaysia","--","--","MY","Sep 6, 2011 9:39 AM"
,"Malta","--","--","MT","Feb 28, 2011 2:25 PM"
"Wellington","New Zealand","--","--","NZ","Sep 6, 2011 9:39 AM"
,"New Zealand","--","--","NZ","Sep 6, 2011 9:39 AM"
,"New Zealand","--","--","NZ","Sep 6, 2011 9:39 AM"
,"New Zealand","--","--","NZ","Sep 6, 2011 9:39 AM"
,"Norway","--","--","NO","Feb 28, 2011 2:25 PM"
,"Romania","--","--","RO","Feb 28, 2011 2:25 PM"
,"Russia","--","--","RU","Sep 6, 2011 9:39 AM"
"Singapore","Singapore","--","--","SG","Feb 28, 2011 2:25 PM"
"Singapore","Singapore","--","--","SG","Feb 28, 2011 2:25 PM"
,"Singapore","--","--","SG","Feb 28, 2011 2:25 PM"
,"Singapore","--","--","SG","Sep 6, 2011 9:39 AM"
,"Singapore","--","--","SG","Sep 6, 2011 9:39 AM"
,"Singapore","--","--","SG","Sep 6, 2011 9:39 AM"
,"Singapore","--","--","SG","Sep 6, 2011 9:39 AM"
,"Singapore","--","--","SG","Sep 6, 2011 9:39 AM"
,"Singapore","--","--","SG","Sep 6, 2011 9:39 AM"
,"Turkey","--","--","TR","Sep 6, 2011 9:39 AM"
"Dubai","UAE","--","--","AE","Feb 28, 2011 2:25 PM"
"Faber","United States Minor Outlying Islands","--","--","UM","Feb 28, 2011 2:26 PM"
"Saffron Walden","United Kingdom","--","--","GB","Oct 13, 2011 2:56 PM"
"Saffron Walden","United Kingdom","--","--","GB","Oct 13, 2011 2:56 PM"
"Brighton","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Colwyn Bay","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Colwyn Bay","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Coventry","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Edinburgh","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Essex","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Essex","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Gwynned","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Histon","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Ipswich","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leeds","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leeds","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leeds","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leicester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leicester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leicester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Liverpool","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Liverpool","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Liverpool","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Manchester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Newbury","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Newcastle","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Newcastle","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Norwich","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Norwich","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Oxford","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Plymouth","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Plymouth","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Sheffield","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Sheffield","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Watford","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Watford","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Aberystwyth","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Aberystwyth","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Bath","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Bath","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Brighton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Bury St Edmuds","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cambridge","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cardiff","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cardiff","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Cardiff","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Colchester","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Colchester","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Edinburgh","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Glasgow","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Huddersfield","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Keswick","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Manchester","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Newcastle","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Northampton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Norwich","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Norwich","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Norwich","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Nottingham","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Nottingham","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Nottingham","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Salford","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Salford","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Salford","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Southampton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"St Albans","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Swansea","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Taunton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
,"Australia","IE 8.0","Windows7","AU","Aug 23, 2011 5:35 AM"
,"Australia","Chrome 15.0","WinXP","AU","Dec 1, 2011 3:20 AM"
,"Australia","Safari 5.1.1","MacOs","AU","Dec 1, 2011 9:41 AM"
,"Australia","Safari 5.1.2","MacOs","AU","Dec 10, 2011 1:07 AM"
,"Australia","Safari 4.1.3","MacOs","AU","Dec 11, 2011 10:04 AM"
,"Australia","IE 9.0","WinVista","AU","Dec 11, 2011 10:07 AM"
,"Australia","Chrome 15.0","Windows7","AU","Dec 11, 2011 4:42 AM"
,"Australia","FireFox 4.0","MacOs","AU","Dec 12, 2011 9:07 AM"
,"Australia","IE 9.0","WinVista","AU","Dec 13, 2011 9:01 AM"
,"Australia","IE 9.0","Windows7","AU","Dec 14, 2011 7:00 AM"
,"Australia","Safari 5.0.2","MacOs","AU","Dec 17, 2011 8:22 AM"
,"Australia","Safari 5.0.6","MacOs","AU","Dec 18, 2011 5:34 AM"
,"Australia","Safari 5.0.6","MacOs","AU","Dec 18, 2011 5:35 AM"
,"Australia","Safari 5.1.2","MacOs","AU","Dec 19, 2011 1:11 AM"
,"Australia","IE 8.0","WinXP","AU","Dec 2, 2011 1:09 PM"
,"Australia","IE 7.0","WinXP","AU","Dec 24, 2011 3:36 AM"
,"Australia","Safari 5.1.1","MacOs","AU","Dec 5, 2011 1:41 PM"
,"Australia","IE 9.0","Windows7","AU","Dec 5, 2011 4:24 AM"
,"Australia","IE 8.0","WinXP","AU","Dec 7, 2011 9:40 PM"
,"Australia","FireFox 4.0","WinXP","AU","Dec 8, 2011 4:02 AM"
,"Australia","Chrome 17.0","MacOs","AU","Feb 28, 2012 9:16 PM"
,"Australia","Safari 5.1.1","MacOs","AU","Jan 2, 2012 2:53 AM"
,"Australia","Safari 5.0.2","MacOs","AU","Jan 23, 2012 12:11 PM"
,"Australia","IE 8.0","Windows7","AU","Jul 30, 2011 3:41 AM"
,"Australia","FireFox 4.0","Windows7","AU","Jun 1, 2011 5:46 PM"
,"Australia","FireFox 3.6","Windows7","AU","Jun 14, 2011 8:15 AM"
,"Australia","IE 8.0","WinXP","AU","Jun 27, 2011 4:56 AM"
,"Australia","Chrome 10.0","WinXP","AU","Mar 15, 2011 11:24 PM"
,"Australia","Safari 5.0.2","MacOs","AU","May 10, 2011 3:34 AM"
,"Australia","IE 8.0","WinXP","AU","Nov 14, 2011 11:39 AM"
,"Australia","Chrome 15.0","WinXP","AU","Nov 17, 2011 4:29 AM"
,"Australia","Safari 5.1.1","MacOs","AU","Nov 29, 2011 1:26 PM"
,"Australia","Safari 5.0.2","MacOs","AU","Nov 4, 2011 3:31 AM"
,"Australia","FireFox 3.6","MacOs","AU","Sep 2, 2011 8:21 AM"
,"Canada","IE 6.0","WinXP","CA","Feb 25, 2011 7:17 PM"
,"Canada","FireFox 3.5","MacOs","CA","Jun 6, 2011 1:04 AM"
,"Canada","IE 8.0","WinXP","CA","Mar 13, 2011 6:25 PM"
,"Canada","Safari 5.0.3","MacOs","CA","Mar 3, 2011 4:31 PM"
,"Canada","Chrome 9.0","WinVista","CA","Mar 6, 2011 4:55 PM"
,"Switzerland","Safari 4.0","Linux","CH","Dec 22, 2011 12:42 PM"
,"Colombia","FireFox 3.6","MacOs","CO","Feb 26, 2011 5:30 AM"
,"Germany","Safari 5.1","MacOs","DE","Jan 22, 2012 1:59 PM"
,"Germany","FireFox 5.0","MacOs","DE","Jul 26, 2011 8:31 AM"
,"Spain","Chrome 12.0","Windows7","ES","Jul 15, 2011 9:49 PM"
,"Spain","IE 9.0","Windows7","ES","May 28, 2011 10:39 AM"
,"Spain","FireFox 7.0","WinXP","ES","Oct 12, 2011 1:57 AM"
,"Europe","IE 8.0","Windows7","EU","Apr 28, 2011 12:20 PM"
"Paris","France","IE 8.0","Windows7","FR","Mar 22, 2011 8:47 PM"
,"France","FireFox 10.0","WinXP","FR","Mar 12, 2012 2:11 PM"
,"France","FireFox 6.0","MacOs","FR","Sep 9, 2011 2:26 PM"
,"United Kingdom","IE 9.0","Windows7","GB","Apr 10, 2012 10:00 PM"
,"United Kingdom","FireFox 3.6","Windows7","GB","Apr 15, 2011 6:21 PM"
,"United Kingdom","IE 8.0","WinXP","GB","Apr 17, 2011 11:59 AM"
,"United Kingdom","IE 8.0","Windows7","GB","Apr 2, 2011 12:00 AM"
,"United Kingdom","Safari 5.1.5","MacOs","GB","Apr 20, 2012 11:23 PM"
,"United Kingdom","FireFox 3.6","MacOs","GB","Apr 21, 2012 11:07 AM"
,"United Kingdom","Chrome 10.0","Windows7","GB","Apr 24, 2011 11:57 AM"
,"United Kingdom","Safari 5.0.2","MacOs","GB","Apr 29, 2011 1:20 PM"
,"United Kingdom","Safari 4.0.2","MacOs","GB","Apr 3, 2011 11:26 PM"
,"United Kingdom","FireFox 3.6","WinXP","GB","Apr 5, 2011 2:26 PM"
,"United Kingdom","Chrome 18.0","WinVista","GB","Apr 5, 2012 4:10 PM"
,"United Kingdom","IE 8.0","WinXP","GB","Apr 6, 2011 11:21 AM"
,"United Kingdom","Chrome 13.0","MacOs","GB","Aug 20, 2011 12:45 AM"
,"United Kingdom","FireFox 3.0","WinVista","GB","Aug 21, 2011 10:16 PM"
